Filename,URL
0001_2015%20Ekstern%20kvalitetssikring%20av%20Autosys%20Kj%C3%B8ret%C3%B8y.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2015%20Ekstern%20kvalitetssikring%20av%20Autosys%20Kj%C3%B8ret%C3%B8y.docx
0002_2015%20PAS-EPJ.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2015%20PAS-EPJ.docx
0003_2015%20Safir.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2015%20Safir.docx
0004_2015-2018%20NAV%20Digitalisering%20av%20sykefrav%C3%A6rsoppf%C3%B8lgingen%20%28DigiSYFO%29.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2015-2018%20NAV%20Digitalisering%20av%20sykefrav%C3%A6rsoppf%C3%B8lgingen%20%28DigiSYFO%29.docx
0005_2016%20BankAxept%20og%20Vipps%20Internasjonal.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20BankAxept%20og%20Vipps%20Internasjonal.docx
0006_2016%20Bistand%20til%20omorganisering%20og%20omstilling%20i%20forbindelse%20med%20flytting%20til%20Bj%C3%B8rvika.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20Bistand%20til%20omorganisering%20og%20omstilling%20i%20forbindelse%20med%20flytting%20til%20Bj%C3%B8rvika.docx
0007_2016%20Dokumenth%C3%A5ndtering%20og%20informasjonsforvaltning.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20Dokumenth%C3%A5ndtering%20og%20informasjonsforvaltning.docx
0008_2016%20EY-Sak%20arkiv-system%20for%20Helse%20Nord.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20EY-Sak%20arkiv-system%20for%20Helse%20Nord.docx
0009_2016%20Kvalitetssikring%20folkeregisteret.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20Kvalitetssikring%20folkeregisteret.docx
0010_2016%20Management%20for%20Hire-Group%20CIO.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20Management%20for%20Hire-Group%20CIO.docx
0011_2016%20Prosjektleder%20OOS%20%E2%80%93%20Ny%20plattform%20for%20SOB.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2016%20Prosjektleder%20OOS%20%E2%80%93%20Ny%20plattform%20for%20SOB.docx
0012_2017%20Bistand%20TIA.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Bistand%20TIA.docx
0013_2017%20Bistand%20til%20detaljprosjekt%20for%20fremtidige%20HR-l%C3%B8sninger.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Bistand%20til%20detaljprosjekt%20for%20fremtidige%20HR-l%C3%B8sninger.docx
0014_2017%20BRO.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20BRO.docx
0015_2017%20Deichmanske%20bibliotek%20%E2%80%93%20bistand%20til%20operativt%20HR-arbeid.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Deichmanske%20bibliotek%20%E2%80%93%20bistand%20til%20operativt%20HR-arbeid.docx
0016_2017%20Deichmanske%20bibliotek%20%E2%80%93%20bistand%20ved%20etatsutskillelse.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Deichmanske%20bibliotek%20%E2%80%93%20bistand%20ved%20etatsutskillelse.docx
0017_2017%20Forvaltningsrevisjon%20-%20Bistand%20til%20Kommunerevisjonen%20i%20Oslo.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Forvaltningsrevisjon%20-%20Bistand%20til%20Kommunerevisjonen%20i%20Oslo.docx
0018_2017%20IT%20Sikkerhetsprogrammet.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20IT%20Sikkerhetsprogrammet.docx
0019_2017%20Kravspesifikasjon%20av%20analyseprodukter%20og%20beslutningsst%C3%B8tte.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Kravspesifikasjon%20av%20analyseprodukter%20og%20beslutningsst%C3%B8tte.docx
0020_2017%20KS1%20P8043%20Taktisk%20ledelsessystem%20for%20landdomenet.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20KS1%20P8043%20Taktisk%20ledelsessystem%20for%20landdomenet.docx
0021_2017%20Kursholdere%20Endringsledelse%20ACMP.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Kursholdere%20Endringsledelse%20ACMP.docx
0022_2017%20Kvalitetssikring%20NVDB%20Referansesystem.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Kvalitetssikring%20NVDB%20Referansesystem.docx
0023_2017%20Lederst%C3%B8tte%20og%20bidrag%20til%20implementering%20av%20ny%20organisasjon.docx.txt,https://a2norge.sharepoint.com/Tilbud%20og%20avtaler/2017%20Lederst%C3%B8tte%20og%20bidrag%20til%20implementering%20av%20ny%20organisasjon.docx
